name	description	ver	filename	type	status	purpose	Package	WBS	WBS Description	Discipline	Discipline Code Description	Source
DSOT-DS-2400-IC-PCV2517	SELF ACTUATED PRESSURE REGULATING VALVE - 400-SLP-02 JIGS SCREENS WATER - TAG 2400-PVC-2517 LINE NO 2400-25-WGSL-CSVD-008 - _0	0	DSOT-DS-2400-IC-PCV2517_0	Data Sheet	Draft	Purchase	Raw Water System	2700	Dewatering	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-PCV2516	SELF ACTUATED PRESSURE REGULATING VALVE - 400-SLP-04 JIGS SCREENS HUTCH WATER - TAG 2400-PVC-2516 LINE NO 2400-25-WGSL-CSVD-007 - _0	0	DSOT-DS-2400-IC-PCV2516_0	Data Sheet	Draft	Purchase	Raw Water System	2700	Dewatering	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-LSHL250	RADAR LEVEL SWITCH - 400-SUP-01 FINE JIGS AREA SUMP PUMP - TAG NO. 2400-LSHL-2508 - _0	0	DSOT-DS-2400-IC-LSHL2508_0	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-LIT2504	RADAR LEVEL TRANSMITTER - 400-PBO-01 JIGS SCREENS PUMP BOX - TAG NO. 2400-LE-LIT-2504 - _0	0	DSOT-DS-2400-IC-LIT2504_0	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-LIT2501	RADAR LEVEL TRANSMITTER - 400-PBO-01 JIGS SCREENS PUMP BOX (HUTCH WATER) - TAG NO. 2400-LE-LIT-2501 - _0	0	DSOT-DS-2400-IC-LIT2501_0	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-LIT2301	LASER LEVEL TRANSMITTER - 400-BIN-02 FINE JIGS SURGE BIN #2 - TAG NO. 2400-LE-LIT-2301 - _0	0	DSOT-DS-2400-IC-LIT2301_0	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-LIT2101	LASER LEVEL TRANSMITTER - 400-BIN-01 FINE JIGS SURGE BIN #1 - TAG NO. 2400-LE-LIT-2101 - _0	0	DSOT-DS-2400-IC-LIT2101_0	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-LCV2507	MODULATING CONTROL VALVE - 400-SLP-02 OUTLET PUMP - TAG NO. 2400-LCV-2507 - LINE NO. 2400-350-WPR-CSVD-034 - _C	C	DSOT-DS-2400-IC-LCV2507_C	Data Sheet	Draft	Tender-Bid	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-LCV2501	MODULATING CONTROL VALVE - 400-PBO-01 HUTCH WATER PUMP BOX - TAG NO. 2400-LCV-2501 - LINE NO. 2900-200-WPR-CSVD-058 - _1	1	DSOT-DS-2400-IC-LCV2501_1	Data Sheet	Draft	Purchase	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
DSOT-DS-2400-IC-FV3005	ON-OFF VALVE DATASHEET - 400-SLP-03 INLET PUMP DRAIN - TAG NO. 2400-FV-3005 - LINE NO. 2400-100-SOR-CSRD-037 - _C	C	DSOT-DS-2400-IC-FV3005_C	Data Sheet	Draft	Tender-Bid	Fine Jigs Area - Instrumentation	2400	Gravity Separation - Fine Jigs	IC	Instrumentation and Controls	AECOM
