ver	name	area	isa	type	equipment	service	description	manufacturer	model	datasheet	plc	iotype	pid	location	wiringDiagram	JboxPanel	SuppliedBy	InstalledBy	ConnectedBy	RIO	RACK	SLOT	POINT	PLC_TAG	PLC_DESCRIPTION	OPCTAG	Note
0	2400-PCV-2130	2400	PCV		400-JIG-01	FINE JIG #1	WORKING AIR CONTROL VALVE	-	-	-	2400-JIG-01-CP	-	DSOT-DW-2400-IC-8021	N/A	"10-4-018414 8/37, 9/37"	2400-JIG-01-JB-01	PME010	MEC Contractor	N/A								
0	2400-PCV-2138	2400	PCV		400-JIG-01	FINE JIG #1	EXHAUST PRESSURE CONTROL VALVE	-	-	-	2400-JIG-01-CP	-	DSOT-DW-2400-IC-8021	N/A	"10-4-018414 8/37, 9/37"	2400-JIG-01-JB-01	PME010	MEC Contractor	N/A								
1	2400-PCV-2330	2400	PCV		400-JIG-02	FINE JIG #2	WORKING AIR CONTROL VALVEF	-	-	-	2400-JIG-02-CP	AO	DSOT-DW-2400-IC-8023	N/A	"10-4-018414 8/37, 9/37"	2400-JIG-02-JB-02	PME010	MEC Contractor	N/A								
1	2400-PCV-2338	2400	PCV		400-JIG-02	FINE JIG #2	AIR EXHAUST CONTROL VALVE	-	-	-	2400-JIG-02-CP	AO	DSOT-DW-2400-IC-8023	N/A	"10-4-018414 8/37, 9/37"	2400-JIG-02-JB-02	PME010	MEC Contractor	N/A								
1	2400-PCV-2516	2400	PCV	SELF ACTUATED PRESS. REG. VALVE	400-SLP-04	JIGS SCREENS HUTCH WATER PUMP	SELF ACTUATED PRESSURE CONTROL VALVE	BelGas	P95H0815000C31	DSOT-DS-2400-IC-PCV2516	N/A	N/A	DSOT-DW-2400-IC-8025	N/A			AECOM	MEC Contractor	N/A								
1	2400-PCV-2517	2400	PCV	SELF ACTUATED PRESS. REG. VALVE	400-SLP-02	JIGS SCREENS HUTCH WATER PUMP	SELF ACTUATED PRESSURE CONTROL VALVE	BelGas	P95H0815000C31	DSOT-DS-2400-IC-PCV2517	N/A	N/A	DSOT-DW-2400-IC-8025	N/A			AECOM	MEC Contractor	N/A								CHANGED FROM 2503 
1	2400-ALM-2117	2400	ALM		400-BLO-01	JIG AIR BLOWER #1	PRTECTION RELAY ALARM	TBD	TBD	-	2400-JIG-01-CP	SOFT	DSOT-DW-2400-IC-8021	N/A				N/A	N/A								
1	2400-ALM-2317	2400	ALM		400-BLO-02	JIG AIR BLOWER #2	PROTECTION RELAY ALARM	TBD	TBD	-	2400-JIG-02-CP	SOFT	DSOT-DW-2400-IC-8023	N/A			AECOM	N/A	N/A								
1	2400-FCV-2601	2400	FCV	MODULATING GLOBE VALVE	400-BAM-01	BALL MILL	 PROCESS WATER FLOW CONTROL GLOBE VALVE	Optimux	OPGL	DSOT-DS-2400-IC-FCV2601	2200-PLC-01	AO	DSOT-DW-2400-IC-8026	N/A	DSOT-DW-2400-IC-8163	2400-PBO-01-JBA-01	AECOM	MEC Contractor	I&C Contractor	2200-RIO-02	1	10	1		400-BAM-01-WPR Supply Flow Control Valve		
1	2400-FCV-2830	2400	FCV	MODULATING V-BALL VALVE	400-ROM-01	ROD MILL	PROCESS WATER FLOW CONTROL VALVE	Optimux	OPVEE	DSOT-DS-2400-IC-FCV2830	2200-PLC-01	AO	DSOT-DW-2400-IC-8028	N/A	DSOT-DW-2400-IC-8163	2400-PBO-01-JBA-01	AECOM	MEC Contractor	I&C Contractor	2200-RIO-02	1	10	2		400-ROM-01-WPR Supply Flow Control Valve		
