Col	Title	Desc	Link
Doc-AudioVideo	Audio Video - Cameras - Microphones etc...	Directory	/Doc/AudioVideo
Doc-AudioVideo	Cameras - CCTV	Directory	/Doc/AudioVideo/Cameras
AudioVideo-Cameras-Cameras	Hamrol Camera for home	Camera Hamrol model C-P05-17 instruction sheet: Product details of Hamrol 1080P 17 LEDs PTZ Wifi Camera 4X Digital Zoom CCTV Security Camera Siren Light 2MP Auto Tracking	/Doc/AudioVideo/Cameras/HamrolCamInstructions.pdf
Doc-Engineering	Engineering	Directory	/Doc/Engineering/
Doc-Engineering-Access-Control	" Note : See the directory for PowerPoint/Visio Presentation source files, business case, Simplex Grinnell Presentation, etc..."	Directory	/Doc/Engineering/Access-Control
Doc-Engineering-Access-Control	Access Control System	Directory	/Doc/Engineering/Access-Control
Doc-Engineering-Access-Control	Bechtel - Typical Sketches	Bechtel - Typical Sketches for Access Control system and Fire Alarm System	/Doc/Engineering/Access-Control/25363-00KT-J1K-0000-0002.pdf
Doc-Engineering-Access-Control	Camera Media Converter	Typical drawing for a camera media converter panel ( Project RTA kitimat )	/Doc/Engineering/Access-Control/25363-22KT-JC-2256-0001-001.pdf
Doc-Engineering-Access-Control	Bechtel - Standard Drawings	Bechtel - Standard Drawings for Access Control for the Pre-Fabricated Electrical Rooms wiring and interconnection diagrams	/Doc/Engineering/Access-Control/25363-22KT-JC-2256-0003.pdf
Doc-Engineering-Access-Control	Bechtel - General Guide Specification	Bechtel - General Guide Specification for Closed Circuit Television (CCTV) System	/Doc/Engineering/Access-Control/3GS_EEC0_A0001.pdf
Doc-Engineering-Access-Control	SNC Lavalin - Qatalum Project	Bid Analysis and Recommandation Overall Plant Site Access Control System	/Doc/Engineering/Access-Control/5332165-T035-0001-0001.pdf
Doc-Engineering-Access-Control	Access Control typical installation	Access Control typical installation details	/Doc/Engineering/Access-Control/ACCESS%20CONTROL%20DETAIL%20DWGS.pdf
Doc-Engineering-Access-Control	Access Control Philosophy	Access Control Philosophy	/Doc/Engineering/Access-Control/AccessControlDoorInOutPhilosophy.pdf
Doc-Engineering-Access-Control	Access control Overview block diagram	Qatalum access control system overview block diagram	/Doc/Engineering/Access-Control/ACS.pdf
Doc-Engineering-Access-Control	Typical access control panel room installation	Typical installation drawing (isometric view) for a access control panel	/Doc/Engineering/Access-Control/ACS_ISO.pdf
Doc-Engineering-Access-Control	Access control - Security Levels	Typical layout of security levels vs the rooms type	/Doc/Engineering/Access-Control/ACS_SecurityLevels.pdf
Doc-Engineering-Access-Control	Access control typical installation layout drawings	CHUM Project - Hospital ACS typical installation layouts	/Doc/Engineering/Access-Control/ACSChum.pdf
Doc-Engineering-Access-Control	Access control typical installation drawings	Kitimat Project Bechtel -  Access control system typical installation drawings	/Doc/Engineering/Access-Control/BechtelTypicals.pdf
Doc-Engineering-Access-Control	CCure-9000 Presentation	Simplex Grinnell presentation of CCure-9000 an access control system software	/Doc/Engineering/Access-Control/CC9000%20v2.0%20Enterprise%20End%20User%20Presentation.pdf
Doc-Engineering-Access-Control	Access Control - Power Budget Calculator	Access Control - Power Budget Calculator	/Doc/Engineering/Access-Control/iSTAR%20Edge%20Power%20Budget%20Calculator%20ERoom.pdf
Doc-Engineering-Access-Control	iSTAR Edge	iSTAR Edge Installation and Configuration Document	/Doc/Engineering/Access-Control/iSTAR_Edge_InstallationConfiguration_UM236_E0.pdf
Doc-Engineering-Access-Control	iSTAR Pro	iSTAR Pro Installation and Configuration Document	/Doc/Engineering/Access-Control/istar_pro_Install_Guide.pdf
Doc-Engineering-Access-Control	CCTV fiber optic block diagram	Kitimat Project Bechtel - Fiber optic connections block diagram	/Doc/Engineering/Access-Control/Overall%20Block%20Diagram%20of%20CCTV%20-Fiber%20Connections.pdf
Doc-Engineering-Access-Control	SNC Lavalin - Qatalum Project	Temporary Construction Site Access Control System - Scope of Work	/Doc/Engineering/Access-Control/QA-00-SNL-I10-00001_03H.pdf
Doc-Engineering-Access-Control	SNC Lavalin - Qatalum Project	Overall Site Access Control System - Scope of Work	/Doc/Engineering/Access-Control/QA-00-SNL-I10-00002-07G_Overall%20%20plant%20sites%20access%20control.pdf
Doc-Engineering-Access-Control	Access control system Presentation	Simplex Grinnell presentation of the RTA Kitimat access control system upgrade	/Doc/Engineering/Access-Control/Rio%20Tinto%20Alcan%20Bechtel%20Presentation%20(Nov%202011).pdf
Doc-Engineering-Access-Control	Typical access control panel electrical room installation	Typical access control panel room installation from Sonic contractor (well done! ) for the control and electrical rooms.	/Doc/Engineering/Access-Control/SonicTypicals.pdf
Doc-Engineering-Access-Control	SNC Lavalin - Qatalum Project	Access Control System - Technical Bid Evaluation and Recommendation	/Doc/Engineering/Access-Control/Technical%20Bid%20Analysis%20and%20Recommendation%20T-035final.pdf
Doc-Engineering-Access-Control	HID - ThinLine II Card reader	HID - ThinLine II Card reader technical note	/Doc/Engineering/Access-Control/thinline2_ins.pdf
Doc-Engineering-Access-Control	iSTAR eX	iSTAR eX Installation and Configuration Document	/Doc/Engineering/Access-Control/UM_iSTAR_ex8_F0_0808_EN_LT.pdf
Doc-Engineering-Access-Control	Software House - RM-4 Installation guide	Software House - RM-4 Installation guide top interface card reader	/Doc/Engineering/Access-Control/UM_rm4_standalone_quick_start_D0_0808_EN_LT.pdf
Doc-Engineering-Access-Control	Video Surveillance Business Case	Kitimat Project Bechtel - Analysis of the existing CCTV system at RTA Kitimat	/Doc/Engineering/Access-Control/Video%20Surveillance%20Business%20Case.pdf
Doc-Engineering-Admin	Administration - Contracts - Rates - Etc	Directory	/Doc/Engineering/Admin
Doc-Engineering-Admin	Service Offer - BBA	Typical cost and engineering rates from BBA for the Tata Steel project.	/Doc/Engineering/Admin/BBAFees.pdf
Doc-Engineering-Admin	Offre de service - ISAC	Offre de service typique d'un system integrateur en 2001	/Doc/Engineering/Admin/IsaacProjectscopeBlending.pdf
Doc-Engineering-Automation	Automation - IC: Instrumentation and Control - IOT: Internet of Things	Directory	/Doc/Engineering/Automation
Engineering-Automation-Block-Diagram	 Note : See in the directory for some source files in Visio regarding the IT building relocation with Bechtel	Directory	/Doc/Engineering/Automation/Block-Diagram
Engineering-Automation-Block%20Diagrams	 Block Diagrams	Directory	/Doc/Engineering/Automation/Block-Diagram
