820,PT Blue Gas Prasat,1565370000,Expense,,T1008201910000,Car-Gas
,540,Resto Big Tree,1552064400,Expense,,T,Restaurant
,2575,ALIEXPRESS,1562346000,Expense,Electronics - Electric Stuff,T060720192575,Hobby
,1000,Market Big,1563555600,Expense,,T210720192200,Market
,368,Lazada,1588438800,Expense,10 Electrical Boxes + Cable glands 16mm,VISA,House
,1300,Interbank Transfer,1563469200,BKB,,T190720191300,IB
,550,Resto Prasat,1549126800,Expense,,T030220195000,Restaurant
,389,Lazada,1586192400,Expense,Face Shield,VISA,Health Care
,700,Market Small Village,1585674000,Expense,,T2020-04-061350,Market
,100,Material Shop Ban Wari,1550336400,Expense,Gym support modif. metal shop fee,T190220192040,House
,2100,Big C Prasat,1555434000,Expense,,T170420195000,Grocery
,1100,Market Prasat,1582909200,Expense,,T2020-03-012450,Market
,2330,Market Prasat,1572714000,BKB,Market Drug store Tesco Lotus,T2019-11-032330,IBT
,4326,Tesco Lotus-Prasat,1591290000,Expense,,T2020-06-054326,Grocery
,2300,Interbank Transfer,1566061200,BKB,,T180820192300,IB
,3640,Tesco Lotus-Prasat,1591549200,BKB,Jarinya,T2020-06-083640,IBT
,17585,Thai Watsadu Surin,1571504400,BKB,House Material- closet, etc..,T2019-10-2017585,IBT
,760,Lazada,1587488400,Expense,Terminal Blocks + tap for water bottle,VISA,House
,850,PT Blue Gas Prasat,1556038800,Expense,,T280420193083,Car-Gas
,200,Tuk Tuk,1556470800,Expense,Tuk Tuk Hotel - Honda ,T2019-04-2910000,Other
,500,Dad Shop,1589734800,Expense,Rice Bag from Family,T2020-05-212570,Grocery
,8921,Makro Surin,1578070800,Expense,,T2020-01-0410000,Grocery
,1794,Tesco Lotus-Village,1569430800,Expense,,T2019-09-263904,Grocery
,3585,Material Shop Ban Roon,1571677200,BKB,House Matetials,T2019-10-223585,IBT
,1000,Market Big Village,1584723600,Expense,food for family,T2020-03-223623,Market
,5700,Interbank Transfer,1557075600,BKB,,T060520195700,IB
,373,Tesco Lotus-Village,1584550800,Expense,,T2020-03-223623,Grocery
,59,ALIEXPRESS,1555261200,Expense,Electronics,T1504201959.04,Hobby
,700,Tesco Lotus-Village,1582304400,Expense,2 bottles of wine,T2020-02-225000,Grocery
,6304,Tesco Lotus-Prasat,1590685200,Expense,,T2020-05-296304,Grocery
,300,Dad Shop,1571850000,Expense,Pay. J  beers. Coke. Spy,T2019-10-257042,Food
,800,Other,1579971600,Expense,24 cans of Shigha Beers,T2020-01-277106,Grocery
,800,Market Prasat,1582304400,Expense,,T2020-02-225000,Market
,520,Resto-Prasat,1575046800,Expense,,T2019-12-012470,Restaurant
,1600,Gardener Lady,1558026000,Expense,Gardening,T170520191200,House
,650,Resto Big Tree,1554483600,Expense,,T0604201910000,Restaurant
,600,Market Small,1555261200,Expense,,T140420195000,Market
,3381.25,Purchase via EDC,1566579600,BKB,,T240820193381.25,EDC
,200,Market Big Village,1570899600,Expense,Pay. J,T2019-10-171800,Market
,437,Name-Cheap,1588266000,Expense,Domain name payment,VISA,Hobby
,4550,Jarinya,1576342800,BKB,Jarinya,T2019-12-154550,IBT
,500,PT-Blue Gas Prasat,1582304400,Expense,,T2020-02-225000,Car Gas
,382,ALIEXPRESS,1555693200,Expense,Electronics,T20042019382.08,Hobby
,15,Commission/Annual Fee,1550854800,BKB,,T2302201915,AUTO
,483,Material Shop Ban Wari,1560445200,Expense,House material.   ,T160620191333,House
,200,Brother in Law,1578330000,Expense,House Works 4 hours,T2020-01-113100,House
,1000,Other,1592067600,Expense,Bamboo Curtains installation and new trees and plants installation,T2020-06-154555,House
,1185,Interbank Transfer,1557594000,BKB,,T120520191185,IB
,87,ALIEXPRESS,1554051600,Expense,Electronics,T0104201986.64,Hobby
,315,Name Cheap,1559322000,Expense,Computer : domain name: taglinker.com,T01062019315,Hobby
,3000,Big C Prasat,1551546000,Expense,,T030320195000,Grocery
,2000,Market Big,1556557200,Expense,,T2019-04-2910000,Market
,5000,Jarinya,1583773200,BKB,Jarinya Birthday !!,T2020-03-105000,IBT
